,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
216,48,ut,2019-01-04,1.0,2020-06-23,536,0.054192024880793,0.00081169561418211,1687,49,state,UT
217,49,va,2019-01-04,1.0,2020-06-23,536,0.058119803969396,0.0005023258438085099,5299,51,state,VA
218,50,vi,2019-01-04,0.0,2020-06-23,536,0.038796188952422005,0.0028213110291905,86,78,state,VI
219,51,vt,2019-01-04,1.0,2020-06-23,536,0.061853929283601,0.0018693127014391,521,50,state,VT
220,52,wa,2019-01-04,1.0,2020-06-23,536,0.041777996311035,0.00044258718610278,4765,53,state,WA
221,53,wi,2019-01-04,1.0,2020-06-23,536,0.079028735597517,0.0007588554085835401,4473,55,state,WI
222,54,wv,2019-01-04,1.0,2020-06-23,536,0.060379313121932,0.0010314944150148,1591,54,state,WV
223,55,wy,2019-01-04,1.0,2020-06-23,536,0.044400022893175996,0.0015554201547415,410,56,state,WY
224,0,ak,2019-01-05,0.0,2020-06-23,535,0.025823704782142,0.0010340661262347,526,02,state,AK
225,1,al,2019-01-05,0.0,2020-06-23,535,0.027934058820409998,0.00031160583447621,3434,01,state,AL
226,2,ar,2019-01-05,0.0,2020-06-23,535,0.0216339118983,0.00031913054810689,2145,05,state,AR
227,3,as,2019-01-05,0.0,2020-06-23,535,0.086800489470523,0.007655907339136,33,60,state,AS
228,4,az,2019-01-05,0.0,2020-06-23,535,0.018179306350979,0.00019704104508819,4162,04,state,AZ
229,5,ca,2019-01-05,0.0,2020-06-23,535,0.022057070392997997,0.00010700073625464,23115,06,state,CA
230,6,co,2019-01-05,0.0,2020-06-23,535,0.025716959496062,0.00031705185125894,3521,08,state,CO
231,7,ct,2019-01-05,0.0,2020-06-23,535,0.026833329396821,0.00039749257189816,2579,09,state,CT
232,8,dc,2019-01-05,0.0,2020-06-23,535,0.021333199161949,0.00065543097234299,449,11,state,DC
233,9,de,2019-01-05,0.0,2020-06-23,535,0.025656459346924,0.00085757392623425,562,10,state,DE
234,10,fl,2019-01-05,0.0,2020-06-23,535,0.023657493484722,0.00018153259031085,11371,12,state,FL
235,11,ga,2019-01-05,0.0,2020-06-23,535,0.023403643692259,0.00026046222424843,5521,13,state,GA
236,12,gu,2019-01-05,-1.0,2020-06-23,535,0.074134151913951,0.0035342383306833,171,66,state,GU
237,13,hi,2019-01-05,0.0,2020-06-23,535,0.022391689103262998,0.00073014464217122,834,15,state,HI
238,14,ia,2019-01-05,0.0,2020-06-23,535,0.036648050750467995,0.0005460360526831799,2626,19,state,IA
239,15,id,2019-01-05,0.0,2020-06-23,535,0.026860282786078996,0.00072665433916132,958,16,state,ID
240,16,il,2019-01-05,0.0,2020-06-23,535,0.03163729268927,0.00024408210532947,9678,17,state,IL
241,17,in,2019-01-05,0.0,2020-06-23,535,0.027742274232564,0.00031994242217667,4808,18,state,IN
242,18,ks,2019-01-05,0.0,2020-06-23,535,0.032199130342928,0.00051260407524725,2345,20,state,KS
243,19,ky,2019-01-05,0.0,2020-06-23,535,0.027345666484308997,0.00038685773024768,3276,21,state,KY
244,20,la,2019-01-05,0.0,2020-06-23,535,0.031124447879528,0.00041285654771815,3451,22,state,LA
245,21,ma,2019-01-05,0.0,2020-06-23,535,0.028766257771802996,0.00030628536713957997,4960,25,state,MA
246,22,md,2019-01-05,0.0,2020-06-23,535,0.024399431926382997,0.00032276195139091003,3902,24,state,MD
247,23,me,2019-01-05,0.0,2020-06-23,535,0.032549729157717006,0.0007969404476992901,1069,23,state,ME
248,24,mi,2019-01-05,0.0,2020-06-23,535,0.025529394344511,0.000201608695695,8128,26,state,MI
249,25,mn,2019-01-05,0.0,2020-06-23,535,0.032968671295310004,0.0003421188689811,4104,27,state,MN
250,26,mo,2019-01-05,0.0,2020-06-23,535,0.030562313478740003,0.0003006313963478,4501,29,state,MO
251,27,mp,2019-01-05,-1.0,2020-06-23,535,0.06729156941439099,0.0044994267367914,47,69,state,MP
252,28,ms,2019-01-05,0.0,2020-06-23,535,0.027256159936235,0.00039150098421095,2157,28,state,MS
253,29,mt,2019-01-05,0.0,2020-06-23,535,0.032287625040206,0.00073837973905813,837,30,state,MT
254,30,nc,2019-01-05,0.0,2020-06-23,535,0.022473163830703,0.00020631658850762,6115,37,state,NC
255,31,nd,2019-01-05,0.0,2020-06-23,535,0.036799027101723995,0.00099493541444721,571,38,state,ND
256,32,ne,2019-01-05,0.0,2020-06-23,535,0.029619827631512,0.0005111619468511,1629,31,state,NE
